CUSTOMER_VERBATIM,CUSTOMER_TAGS,CORRECTION_VERBATIM,CORRECTION_TAGS
steering wheel coming apart,"['wheel', 'steering']",replaced steering wheel now okay,"['wheel', 'steering']"
customer states heated steering wheel inop,"['wheel', 'inop', 'steering']","checked - found dtc's u0229 - u1530 set in bcm. found pip5883j, verifi ed rpo options. tested per si - was inconclusive.testedperwiring sc hematic - all circuits tested ok. looks like faulty heated s-w module. ordered new module 9-26-23.1-2, replacedheated s-w module.",['module']
customer states the lettering and finish on the steering wheel is coming off. plant: sil,"['wheel', 'steering']",steering wheel replacement,"['wheel', 'steering']"
c/s: customer states the service driver assist system message is on. a dvise,"['system', 'message']",replaced steering message no longer displayed,"['steering', 'message']"
horn and steering wheel switches are inoperable,"['wheel', 'steering']",remove and replace steering wheel wire harness,"['wheel', 'steering', 'replace']"
cust. states drivers assist light comes on dash -super cruise/lane departure works intermittently-was diag. forasteeringwheelmodule.,['light'],"accessed, removed and replaced the drivers assistance systems module. accessed the diagnosticportandreprogrammedthesystemcalibration using the mdi-2 with a warranty claim programming code of fdyz197418154. road testedthevehicletoverifyrepairs. thesystem is now operating as designed.",['module']
special order part [ steering wheel heated steering wheel not working ],"['wheel', 'steering']",replaced steering wheel,"['wheel', 'steering']"
customer states steering wheel is making a rubbing noise when turing the wheel left and right,"['wheel', 'steering', 'noise']",technician found the steering column plastic trim was not aligned properly adjusted trim and found the customer concern is nolonger present,['steering']
customer states that they are getting a message on the dash saying driver assist message. check and advise,"['check', 'message']",steering wheel replacement,"['wheel', 'steering']"
c/s: removed steering wheel to gain access to back side of steering wheel where trim is that is protruding and replaced trim andstill is pretruding. issue is in steering wheel assembly reference ro# 82289 -- gm authorization# 490759800000,"['wheel', 'steering', 'issue']","gained access and removed old steering wheel after disconnecting battery negative. installed new steering wheel, applied loctite tobolt that retains steering wheel. tighted bolt. re installed air bag, re installed trim. re connected battery, checked for anyprotruding from steering wheel molding, all ok now gm authorization# 490759800000","['wheel', 'steering']"
(install special order part) customer states the right side steering wheel super cruise plastic cover is lifting up and not secure.pra 491752600000,"['wheel', 'steering']",replaced steering wheel asmy,"['wheel', 'steering']"
customer states heated steering wheel isnt working,"['wheel', 'steering']",replaced heated steering wheel,"['wheel', 'steering']"
customer states steering wheel conrol passenger side rear on the steer ing wheel is loose sop part,"['wheel', 'steering']",checked and verified customer concern and found trim piece loose remov ed replaced trim piece on the back of the passenger side ofsteering w heel complete,[]
customer states ck horn on the steering wheel only works in the middle on the side it does no work,"['wheel', 'steering']","verified customer concern about a horn inop. i followed document 4374183 to diagnose this concern. i monitored scan tool data forthe horn activation while pressing the horn and it was changing intermittently. i then tested circuits 3287 at the steering wheelfor a short and all was ok, i then tested circuit 6051 and ground circuit had no high resistance. i then tested terminal tension onthe steering wheel harness and found loose tension on the horn connection and required a harness replacement i then replaced thesteering wheel harness. after repairs, the vehicle is now honking as designed","['wheel', 'inop', 'steering']"
�������� ������ ����������,[],steering wheel replacement,"['wheel', 'steering']"
"heated steering wheel inop. when you hit the button on it turns off immediately. when remote starting it, it will turn light on butnever heat up. - ro 6124563 - ro 6126117 - dave - pra #495554400000","['wheel', 'inop', 'steering', 'light']","replace steering wheel check ok 1699-,0130","['wheel', 'check', 'steering', 'replace']"
steering wheel fraying parts are in,"['wheel', 'steering']",installed special ordered steering wheel due to threads fraying on whe el 0130 .4 629,"['wheel', 'steering']"
added operation horn doesnt work hasnt worked since brand new tech cause horn connector not fully seated on harn assembly anddisconnected tech comments reconnected horn checked operation ok,[],"reconnected horn checked operation, ok.",[]
